SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
MYMUDRA,SM,74.5,75.95,71.3,71.5,71.3,72.5,54000,3895980.00,29-Jul-2025,41,INE0RVQ01016
NRAIL,BE,344,350.85,344,350.85,350.85,344,5744,2014816.60,29-Jul-2025,34,INE740D01017
NRVANDANA,SM,38.55,40,38.55,40,40,39,90000,3501450.00,29-Jul-2025,30,INE104101014
NBIFIN,EQ,2850.6,2850.6,2759.8,2799.8,2812.8,2812,375,1046087.20,29-Jul-2025,116,INE365I01020
NACLIND,BE,293.25,293.25,293.25,293.25,293.25,279.29,204842,60069916.50,29-Jul-2025,879,INE295D01020
NDGL,EQ,4269.4,4269.4,4010,4069.4,4051,4096.8,235,954296.50,29-Jul-2025,70,INE756C01015
NAGAFERT,EQ,5.95,6.1,5.8,5.98,6.02,5.9,676400,3997915.78,29-Jul-2025,1241,INE454M01024
NAGREEKCAP,EQ,26.68,26.99,25.42,26.45,26.99,25.77,16836,444382.47,29-Jul-2025,359,INE245I01016
NAGREEKEXP,EQ,27.26,27.27,26,26.07,26.44,26.42,8018,211362.40,29-Jul-2025,99,INE123B01028
NAHARCAP,BE,304.1,309.8,301.5,305.05,308.8,304.1,974,297155.75,29-Jul-2025,23,INE049I01012
NAHARINDUS,BE,124.49,128.5,124.15,126.95,125.65,125.11,5378,676650.03,29-Jul-2025,63,INE289A01011
NAHARPOLY,BE,310,310,301.5,306.5,306.1,309.85,6634,2033342.85,29-Jul-2025,127,INE308A01027
NAHARSPING,EQ,253.05,264.4,247.3,259.75,257.25,252.95,35782,9158643.25,29-Jul-2025,1632,INE290A01027
NGIL,EQ,29.7,29.7,28.51,28.83,28.53,29.15,22020,638857.45,29-Jul-2025,604,INE236Y01012
NSIL,EQ,6760,6958,6700.5,6817,6805,6792,8840,59945556.00,29-Jul-2025,2219,INE023A01030
NAMOEWASTE,SM,201.65,203.7,191.75,192.5,192.1,201.65,92800,18308320.00,29-Jul-2025,92,INE08NZ01012
NDL,EQ,3.75,3.76,3.56,3.62,3.63,3.71,7455038,26988342.11,29-Jul-2025,4612,INE875G01048
JAIPURKURT,EQ,41.23,47.5,41.22,44.62,45,41.24,177156,7998004.30,29-Jul-2025,1243,INE696V01013
NH,EQ,1976.4,2001,1965.1,1982.6,1987,1991.3,208843,412860318.50,29-Jul-2025,22116,INE410P01011
NARMADA,EQ,21.39,21.46,20.3,20.56,20.45,21.22,271341,5641644.42,29-Jul-2025,1021,INE117Z01011
NATCOPHARM,EQ,944.9,967.6,934.85,958.5,960,941.25,654958,624190826.85,29-Jul-2025,26806,INE987B01026
NATHBIOGEN,BE,179.9,184.4,177,181.96,182.8,180.8,8974,1633433.95,29-Jul-2025,104,INE448G01010
NATIONALUM,EQ,187.5,189.9,186.01,189.68,189.46,187.7,5829470,1100720258.92,29-Jul-2025,38927,INE139A01034
NFL,EQ,96.75,99.39,95.72,98.32,98.56,96.89,2049799,201106669.90,29-Jul-2025,15250,INE870D01012
NHIT,IV,133.5,133.5,133.5,133.5,133.5,133.5,50000,6675000.00,29-Jul-2025,2,INE0H7R23014
NATCAPSUQ,EQ,217.11,217.78,211.61,212.37,212.25,215.36,2804,598823.93,29-Jul-2025,129,INE936B01015
NAVA,EQ,600.95,607,585.35,603.65,605.95,600.65,309465,185016727.75,29-Jul-2025,13512,INE725A01030
